frame_id,timestamp,num_features,depth_mean,depth_std
0,1773946762706.866,179,4192.705236788739,1608.427330017005
1,1773946763040.2537,473,3828.526066219577,1080.7177660221519
2,1773946763108.7856,166,3890.2295894035124,1113.655284848414
3,1773946763175.6367,148,4023.471571011759,1285.9112638859071
4,1773946763242.266,155,4148.29699977729,1400.1921492964036
5,1773946763308.614,153,4338.063001758272,1537.8260040830685
6,1773946763374.802,146,4349.615697923793,1671.3673394592404
7,1773946763441.715,116,4218.614439909039,1729.8200104514988
8,1773946763508.721,151,4092.989381773043,1783.0672801422331
9,1773946763575.33,185,4027.2319304325642,1838.7044270171593
10,1773946763642.5332,500,3997.421504653549,1882.7118698888407
11,1773946763709.475,500,3977.08353889163,1864.100558580856
12,1773946763841.168,134,4061.416514648441,1780.7293341406264
13,1773946763907.765,134,4094.8925254091973,1726.2032195759639
14,1773946763976.2644,130,4164.382326286127,1699.3124999786248
15,1773946764041.5002,176,4117.740627651756,1644.7415308993557
16,1773946764108.3684,179,4028.2823280818766,1563.246164919362
17,1773946764508.2793,500,3480.5982469411692,811.0697270795216
18,1773946764575.0168,500,3481.392807663862,817.8288794818471
19,1773946764641.693,500,3494.7731159296923,815.2791696932977
20,1773946764708.755,391,3564.2295809800853,891.3466274773845
21,1773946764775.0784,289,3646.913888513033,946.317185463328
22,1773946764841.86,274,3779.3441360166553,1077.7478670717737
23,1773946764908.5916,265,3900.1128895995084,1213.2676322524246
24,1773946764975.485,237,3946.3712531612578,1318.3306182290953
25,1773946765042.1367,144,3984.125536751705,1421.1455333918568
26,1773946765109.5442,176,4047.973157851631,1509.2175421733577
27,1773946765175.8608,176,4120.113206542006,1601.0011768113645
28,1773946765242.5815,202,4126.384511882017,1657.4876587469187
29,1773946765308.8015,241,4129.184729661765,1676.6769819981344
30,1773946765375.7769,294,4101.282251033552,1723.729307428626
31,1773946765442.663,500,4077.527058524837,1747.3849893799786
32,1773946765509.233,500,4067.53297061717,1742.580855740643
33,1773946765575.863,500,4067.6131464110713,1746.9151215371594
34,1773946765642.7405,500,4053.2245822413843,1737.1292602419785
35,1773946765709.151,500,4066.3088901163464,1712.1909626856602
36,1773946765776.421,193,4099.472828843553,1688.5098218428482
37,1773946765843.3884,140,4127.142927830971,1658.6406902512572
38,1773946765909.931,135,4040.5303178589675,1579.3330293012095
39,1773946765976.8447,137,3912.1452394851494,1480.5955033473992
40,1773946766043.4526,160,3827.012883296652,1353.8914042352772
41,1773946766109.707,180,3628.9382948052175,1034.047118973212
42,1773946766176.7188,267,3496.7357371332914,933.2965301596633
43,1773946766242.8403,266,3379.550777567922,796.9835136807651
44,1773946766309.5288,500,3301.361576971214,700.5499753740792
45,1773946766376.334,463,3345.207973294852,742.2962537147845
46,1773946766443.0747,271,3430.0818011257034,807.1410391871653
47,1773946766510.428,158,3616.9284238191995,963.2894369296991
48,1773946766576.3838,165,3875.7040627466317,1223.8361198985967
49,1773946766643.296,185,3952.6679381209838,1382.4842725111291
50,1773946766709.9011,155,3994.6938554677004,1454.2736977384518
51,1773946766776.7148,147,4056.8885140075254,1534.941764411029
52,1773946766843.548,170,4149.087725200897,1638.5020965720228
53,1773946766909.9617,189,4101.2619965331605,1676.878110996581
54,1773946766976.734,309,4066.4256024785677,1714.5015680679073
55,1773946767043.908,500,4019.3015901571107,1733.4449444790635
56,1773946767110.4187,500,4011.125028682781,1769.6761540385057
57,1773946767177.4705,500,3999.1679549700025,1761.94998954474
58,1773946767243.946,439,4018.261194872265,1724.874926844839
59,1773946767310.4766,173,4090.6695706504665,1690.1333403163856
60,1773946767377.368,140,4143.6442673602005,1677.0663251355143
61,1773946767444.3745,172,4067.369015090633,1574.6817472716461
62,1773946767510.884,172,3993.9333241488453,1509.1723823688037
63,1773946767577.5193,213,3938.824159922636,1448.0358445092238
64,1773946767644.1604,500,3905.6448310072483,1413.81391637428
65,1773946767711.8748,500,3916.671375029941,1406.632767008837
66,1773946767777.5989,500,3913.7003912879336,1436.2744246775067
67,1773946767844.1943,411,3903.4015289458207,1437.3576811456949
68,1773946767911.0427,500,3919.7180084954357,1490.184197904744
69,1773946767977.697,500,3908.45385083104,1497.3731082768
70,1773946768044.5925,500,3869.649532480315,1495.2462578737031
71,1773946768111.3765,500,3842.654155675851,1499.1525204027137
72,1773946768177.92,500,3831.407793200321,1501.8430101344545
73,1773946768245.2263,500,3836.9374182270744,1524.1473625757712
74,1773946768311.313,500,3838.295643596792,1537.402569384967
75,1773946768377.714,500,3842.2656513659567,1541.5326700733876
76,1773946768444.4617,500,3866.9739112041643,1530.7611272742279
77,1773946768511.5164,484,3897.984778928643,1539.9511997576658
78,1773946768578.2727,482,3952.3359195040875,1574.6815514722337
79,1773946768644.958,500,3999.240462299232,1632.521720333453
80,1773946768711.5325,500,3979.1923351591454,1639.709127044479
81,1773946768778.1323,500,3945.7295036013097,1663.4068872086514
82,1773946768845.6956,500,3944.4479626209622,1700.1252345458097
83,1773946768912.9265,500,3942.0883873647426,1687.049564532059
84,1773946768979.3987,500,3930.5429603043417,1690.3623536320495
85,1773946769045.38,500,3931.3622636903438,1699.2794881784498
86,1773946769112.3784,500,3957.132435060124,1701.4506523382302
87,1773946769178.8198,500,3961.3161246641903,1679.1506647126432
88,1773946769246.1367,500,3996.2647663911484,1694.3169162821673
89,1773946769312.0876,500,4007.4386031133067,1664.1483913973782
90,1773946769379.1936,500,3970.1481641688506,1735.2803131365556
91,1773946769445.2046,452,3881.4011691793767,1717.1225608117336
92,1773946769512.4033,500,3852.300171507648,1706.0761502444966
93,1773946769579.192,500,3871.437991075848,1682.4617549301518
94,1773946769645.735,500,3819.465120918743,1644.8379488547107
95,1773946769712.2812,500,3809.1081055535965,1690.2767110379912
96,1773946769779.03,500,3753.7280907838444,1693.9762164942767
97,1773946769845.7568,500,3750.9967368519624,1752.6395289232696
98,1773946769912.351,500,3719.6559191738543,1759.9891643734545
99,1773946769980.1729,500,3648.495652518727,1776.9745937219793
100,1773946770046.0632,500,3559.6758439442224,1765.0800409787498
101,1773946770112.5642,500,3527.108919283514,1778.2434373546891
102,1773946770179.4192,500,3505.6221052291594,1757.3491984694324
103,1773946770246.5635,500,3534.9088607412064,1724.679936085456
104,1773946770313.2449,500,3519.1515186448737,1701.3185836467692
105,1773946770379.829,500,3518.755131407082,1681.6725904076773
