frame_id,timestamp,num_features,depth_mean,depth_std
0,1773946126657.7432,317,6784.371123710841,4946.622271059939
1,1773946127057.9778,500,6955.614837952287,5033.337517550608
2,1773946127125.7673,500,7089.110702760218,5262.940952274926
3,1773946127192.158,500,6817.1790993384,5039.524850321085
4,1773946127258.878,421,6196.902875257136,4551.470001656738
5,1773946127326.5857,254,5213.336106195963,3908.638506353717
6,1773946127393.6006,195,4576.707361266781,3234.52201273524
7,1773946127458.962,242,4824.1829907871825,3164.1247390419144
8,1773946127526.4016,326,5333.23254156174,3357.2019458102227
9,1773946127591.6853,444,5626.323420869659,3324.7751086963767
10,1773946127658.8423,467,5708.897704708018,3240.945482526502
11,1773946127726.6377,500,6044.115501163014,3703.913342475702
12,1773946127793.08,500,6516.812040012898,5280.901667139972
13,1773946127859.7993,500,7295.941158165719,7605.005626031528
14,1773946127925.9065,500,6805.419570219847,6275.058079711282
15,1773946127993.5442,500,6268.563181322031,4615.054830656019
16,1773946128059.32,495,5838.053547280466,3737.619533988797
17,1773946128125.9314,442,5657.586258232371,3547.9296933241967
18,1773946128192.6875,358,5464.851573665266,3436.4706502651443
19,1773946128259.3623,271,5012.388462074212,3412.9624824354323
20,1773946128326.3635,240,4595.15372136554,3271.4226356152412
21,1773946128392.6912,241,4512.591246274819,3460.9886115369386
22,1773946128459.9172,264,5098.775940966826,3948.874392236966
23,1773946128526.105,438,5810.244311532027,4352.749639292973
24,1773946128592.856,500,6246.851172391482,4770.989714123647
25,1773946128659.466,500,6495.927156152615,5082.149900981971
26,1773946128726.389,500,6659.542427091817,5306.400635101392
27,1773946128792.6116,500,6486.46350253647,5078.145684854978
28,1773946128859.606,496,6126.754950048625,4738.180818025769
29,1773946128926.1797,377,5450.734176216069,4185.946117074746
30,1773946128992.8015,210,4696.73334862188,3640.28206571742
31,1773946129059.5913,199,4492.481659917726,3441.476503118666
32,1773946129126.3196,234,4712.6317797911,3354.1404188349893
33,1773946129193.1145,279,5195.013563462103,3677.5284409925157
34,1773946129259.9543,334,5494.151313859736,3539.622510063422
35,1773946129327.1248,377,5507.485816754393,3474.586867794482
36,1773946129394.2156,428,5587.233920779328,3440.3824225160147
37,1773946129459.9597,500,5952.21824556643,4465.347783164894
38,1773946129526.5293,500,6378.562559602259,5899.846696528678
39,1773946129593.2708,500,6930.396372510836,7595.025330130395
40,1773946129660.215,500,6748.873444139099,6906.801795458664
41,1773946129726.6145,500,6294.224314543991,5467.058117431248
42,1773946129793.9902,500,6011.926556192829,5145.398714807848
43,1773946129860.3428,385,5521.215644275983,3680.9197358533306
44,1773946129926.978,355,5412.900650422704,3479.050493503666
45,1773946129993.6594,287,5287.891806703962,3504.8472321879817
46,1773946130060.5527,220,4898.102463230044,3431.9008616613764
